Company,Valuation,Valuation_in_full,Date_Joined,Year_Joined,Industry,City,Country,Continent,Year_Founded,Year_count,Funding,Funding_in_full,Select_Investors
Bytedance,$180B,1.8E+11,4/7/2017,2017,Artificial intelligence,Beijing,China,Asia,2012,5,$8B,8000000000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,$100B,1E+11,12/1/2012,2012,Other,Hawthorne,United States,North America,2002,10,$7B,7000000000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,$100B,1E+11,7/3/2018,2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,10,$2B,2000000000,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,$95B,95000000000,1/23/2014,2014,Fintech,San Francisco,United States,North America,2010,4,$2B,2000000000,"Khosla Ventures, LowercaseCapital, capitalG"
Klarna,$46B,46000000000,12/12/2011,2011,Fintech,Stockholm,Sweden,Europe,2005,6,$4B,4000000000,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,$40B,40000000000,1/8/2018,2018,Internet software & services,Surry Hills,Australia,Oceania,2012,6,$572M,572000000,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,$40B,40000000000,5/2/2019,2019,Fintech,London,United Kingdom,Europe,2012,7,$2B,2000000000,"Tiger Global Management, Insight Partners, DST Global"
Instacart,$39B,39000000000,12/30/2014,2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,2,$3B,3000000000,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,$38B,38000000000,12/20/2017,2017,Consumer & retail,San Francisco,United States,North America,2015,2,$14B,14000000000,Tiger Global Management
Databricks,$38B,38000000000,2/5/2019,2019,Data management & analytics,San Francisco,United States,North America,2013,6,$3B,3000000000,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,$33B,33000000000,4/26/2018,2018,Fintech,London,United Kingdom,Europe,2015,3,$2B,2000000000,"index Ventures, DST Global, Ribbit Capital"
Epic Games,$32B,32000000000,10/26/2018,2018,Other,Cary,United States,North America,1991,27,$7B,7000000000,"Tencent Holdings, KKR, Smash Ventures"
FTX,$32B,32000000000,7/20/2021,2021,Fintech,,Bahamas,North America,2018,3,$2B,2000000000,"Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,$27B,27000000000,6/6/2012,2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,10,$4B,4000000000,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,$25B,25000000000,3/5/2019,2019,Fintech,San Francisco,United States,North America,2013,6,$2B,2000000000,"Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,$22B,22000000000,7/25/2017,2017,Edtech,Bengaluru,India,Asia,2008,9,$4B,4000000000,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,$20B,20000000000,4/7/2021,2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,6,$5B,5000000000,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,$20B,20000000000,3/31/2016,2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,3,$918M,918000000,"GGV Capital, ZhenFund, Tencent"
Miro,$18B,18000000000,1/5/2022,2022,Internet software & services,San Francisco,United States,North America,2011,11,$476M,476000000,"Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,$17B,17000000000,5/31/2017,2017,Edtech,Beijing,China,Asia,2012,5,$4B,4000000000,"Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,$15B,15000000000,12/3/2019,2019,Fintech,London,United Kingdom,Europe,2016,3,$770M,770000000,"Target Global, General Catalyst, Durable Capital Partners"
